strategy,trial,accuracy,hidden_channels,hidden_layers,learning_rate,warmup_epochs,down_sample,qb_link
DELAUNAY,71,0.7139152981849611,128,1,0.0016011083470734502,20,False,False
DELAUNAY,72,0.7165082108902333,128,1,0.0012421837163142295,20,False,False
DELAUNAY,73,0.7234226447709594,128,1,0.0012630242834424945,20,False,False
DELAUNAY,74,0.7117545375972342,128,1,0.0014071804724140604,20,False,False
DELAUNAY,75,0.7247191011235955,128,1,0.0014112029898426866,20,False,False
DELAUNAY,76,0.6949006050129646,128,1,0.002255164959840695,30,False,False
DELAUNAY,77,0.6702679343128781,256,1,0.0022619989148358146,30,False,False
DELAUNAY,78,0.7182368193604148,256,1,0.0011205369146938752,20,False,True
DELAUNAY,79,0.7251512532411409,256,1,0.0011269032832679064,20,False,True
DELAUNAY,80,0.6041486603284356,256,1,0.004557612845731136,10,False,True
DELAUNAY,81,0.68971477960242,256,1,0.0018629630594605069,10,False,True
DELAUNAY,82,0.7074330164217805,256,1,0.0015129790805833577,20,False,True
DELAUNAY,83,0.7087294727744166,256,1,0.0014760511815828945,20,False,True
DELAUNAY,84,0.7104580812445981,256,1,0.001101756647796079,20,False,True
DELAUNAY,85,0.7156439066551427,256,1,0.001111197285938955,20,False,True
DELAUNAY,86,0.7009507346585998,256,1,0.0010040722284319196,20,False,True
DELAUNAY,87,0.7048401037165082,256,1,0.0013424070141588337,20,False,True
DELAUNAY,88,0.7101528384279476,128,1,0.0013702217241309564,20,True,True
DELAUNAY,89,0.6932314410480349,128,1,0.0016540747844897019,30,True,False
DELAUNAY,90,0.7221261884183232,256,1,0.0016450277626431976,30,False,False
DELAUNAY,91,0.7199654278305964,256,1,0.0012135064760560941,20,False,True
DELAUNAY,92,0.6953327571305099,128,1,0.001224450852733723,20,False,False
DELAUNAY,93,0.7251512532411409,128,1,0.0012436249654053412,20,False,False
DELAUNAY,94,0.7152117545375972,128,1,0.0011219461987286591,20,False,False
DELAUNAY,95,0.7152117545375972,128,1,0.0011004723466716058,20,False,False
DELAUNAY,96,0.7009507346585998,128,1,0.0018723530541825402,20,False,False
DELAUNAY,97,0.6041486603284356,256,1,0.00776479359530263,20,False,True
DELAUNAY,98,0.7173725151253241,256,1,0.001412262262328682,20,False,True
DELAUNAY,99,0.7130509939498704,256,1,0.0014596868542006596,20,False,True
GABRIEL,0,0.7019650655021834,256,1,0.0010991921864238613,20,True,False
GABRIEL,1,0.5,256,2,0.0044947724663441276,30,True,False
GABRIEL,2,0.6041486603284356,128,2,0.006064895125376063,20,False,True
GABRIEL,3,0.6041486603284356,128,2,0.02082149960184046,20,False,True
GABRIEL,4,0.6041486603284356,256,2,0.06247234222547696,30,False,True
GABRIEL,5,0.5,128,1,0.0581784309624847,20,True,True
GABRIEL,6,0.5,128,2,0.012990149889794496,20,True,True
GABRIEL,7,0.6866897147796024,128,1,0.002530139546034744,10,False,False
GABRIEL,8,0.6715643906655142,128,1,0.004242033443957965,10,False,True
GABRIEL,9,0.5,128,2,0.044224431379647614,10,True,False
GABRIEL,10,0.5,128,2,0.06390258800796175,20,True,False
GABRIEL,11,0.7025109170305677,256,1,0.0010401830965120072,20,True,False
GABRIEL,12,0.7221261884183232,256,1,0.001015029665121947,10,False,False
GABRIEL,13,0.7096069868995634,256,1,0.0010333243278809437,20,True,False
GABRIEL,14,0.7242869490060502,256,1,0.0012248385984018337,10,False,False
